DOCID,Site,Contractor,Act,Activity,Date_Of_Month,Month,Year,RemindDays
"0","Mumbai","Contractor A","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","Contractor A","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","Contractor A","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Mumbai","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Contractor B","Explosives Act","License","0","","","0"
"0","Mumbai","Contractor B","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","Contractor B","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","Contractor B","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","Contractor B","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","Contractor B","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","Contractor B","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","Contractor B","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","Contractor B","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","Contractor B","Private Security","Security License","0","","","0"
"0","Mumbai","Contractor B","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","Contractor B","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","Contractor B","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Explosives Act","License","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Private Security","Security License","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","Personal Touch ServicesIndia Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Mumbai","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Explosives Act","License","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","Quess Corp Pvt. Limited","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","Quess Corp Pvt. Limited","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","Quess Corp Pvt. Limited","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Private Security","Security License","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","Quess Corp Pvt. Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Mumbai","Ranstad India Private Limited","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","Ranstad India Private Limited","Explosives Act","License","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","Ranstad India Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","Ranstad India Private Limited","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","Ranstad India Private Limited","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","Ranstad India Private Limited","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","Ranstad India Private Limited","Private Security","Security License","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","Ranstad India Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","Mumbai","SIS","DVAT","Tax Deposit","20","","","0"
"0","Mumbai","SIS","Explosives Act","License","0","","","0"
"0","Mumbai","SIS","Food Safety","License for Food Supply and Serve","0","","","0"
"0","Mumbai","SIS","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","Mumbai","SIS","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","Mumbai","SIS","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","Mumbai","SIS","Inter State Migrant","Return & Reports","15","2","","0"
"0","Mumbai","SIS","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","Mumbai","SIS","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","Mumbai","SIS","National  Festival Holidays","Register of Leave","25","","","0"
"0","Mumbai","SIS","Private Security","Security License","0","","","0"
"0","Mumbai","SIS","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","Mumbai","SIS","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","Mumbai","SIS","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","PE","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","PE","Explosives Act","License","0","","","0"
"0","New Delhi","PE","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","PE","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","PE","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","PE","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","PE","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","PE","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","PE","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","PE","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","PE","Private Security","Security License","0","","","0"
"0","New Delhi","PE","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","PE","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","PE","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","Contractor A","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Contractor A","Explosives Act","License","0","","","0"
"0","New Delhi","Contractor A","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","Contractor A","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","Contractor A","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","Contractor A","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","Contractor A","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","Contractor A","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","Contractor A","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","Contractor A","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","Contractor A","Private Security","Security License","0","","","0"
"0","New Delhi","Contractor A","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","Contractor A","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","Contractor A","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","Contractor B","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Contractor B","Explosives Act","License","0","","","0"
"0","New Delhi","Contractor B","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","Contractor B","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","Contractor B","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","Contractor B","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","Contractor B","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","Contractor B","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","Contractor B","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","Contractor B","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","Contractor B","Private Security","Security License","0","","","0"
"0","New Delhi","Contractor B","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","Contractor B","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","Contractor B","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Explosives Act","License","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Private Security","Security License","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","Personal Touch ServicesIndia Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","Quess Corp Pvt. Limited","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Explosives Act","License","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","Quess Corp Pvt. Limited","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","Quess Corp Pvt. Limited","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","Quess Corp Pvt. Limited","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Private Security","Security License","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","Quess Corp Pvt. Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","Ranstad India Private Limited","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","Ranstad India Private Limited","Explosives Act","License","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","Ranstad India Private Limited","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","Ranstad India Private Limited","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","Ranstad India Private Limited","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","Ranstad India Private Limited","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","Ranstad India Private Limited","Private Security","Security License","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","Ranstad India Private Limited","Standing Orders","Certified Standing Orders","30","12","","0"
"0","New Delhi","SIS","DVAT","Tax Deposit","20","","","0"
"0","New Delhi","SIS","Explosives Act","License","0","","","0"
"0","New Delhi","SIS","Food Safety","License for Food Supply and Serve","0","","","0"
"0","New Delhi","SIS","Industrial Disputes","Progress Report on Constitution and functioning of Works Committee","0","","","0"
"0","New Delhi","SIS","Inter State Migrant","Half Yearly Return","31","5","","0"
"0","New Delhi","SIS","Inter State Migrant","License if Applicable (Form-VIII)","0","","","0"
"0","New Delhi","SIS","Inter State Migrant","Return & Reports","15","2","","0"
"0","New Delhi","SIS","National  Festival Holidays","Annual Return (as applicable)","31","2","","0"
"0","New Delhi","SIS","National  Festival Holidays","Display List of Holiday","31","12","","0"
"0","New Delhi","SIS","National  Festival Holidays","Register of Leave","25","","","0"
"0","New Delhi","SIS","Private Security","Security License","0","","","0"
"0","New Delhi","SIS","Sexual Harassment","Copy of Board of Committee Member","0","","","0"
"0","New Delhi","SIS","Sexual Harassment","Copy of Sexual Harassment Policy","0","","","0"
"0","New Delhi","SIS","Standing Orders","Certified Standing Orders","30","12","","0"
