DOCID,Site,Act,Activity,Frequency,NextDueDate,EffectiveDate,RemindDays,IsActive,Maker1,Checker1,Maker2,Checker2,Auditor1,Auditor2,Response,Message
"0","A10'-PANCHSHEEL DELHI","Min. Wages","Form II Register of Deduction","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Min. Wages","Form III Annual Returns","Yearly","31/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Min. Wages","Form IV Register of Overtime","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Min. Wages","Muster Roll Form V","Monthly","01/01/2019","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A10'-PANCHSHEEL DELHI","Min. Wages","MW_Wage_Slip_Form'-XI","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Min. Wages","Register of Wages Form X","Monthly","01/01/2019","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A10'-PANCHSHEEL DELHI","National  Festival Holidays","Annual Return (as applicable)","Yearly","31/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","National  Festival Holidays","Display List of Holiday","Yearly","31/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","National  Festival Holidays","Register of National and Festival Holidays","Monthly","25/12/2018","","5","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Payment of Wages","Form I Register of Fine","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Payment of Wages","Form II Register of Deduction","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Payment of Wages","Form III Register of Advance","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Payment of Wages","Form IV Annual Return","Yearly","15/02/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","PF","Monthly Deposit","Monthly","15/01/2019","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","PF","PF ECR","Monthly","15/01/2019","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","PF","Registration","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Professional Tax","Registration","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Professional Tax","Remittance Monthly/Half Yearly/Annual","Monthly","28/12/2018","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Professional Tax","Returns under the Act","Monthly","28/12/2018","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","S and E","Leave Registers","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","S and E","Notice of Holidays to Employees","Monthly","01/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A10'-PANCHSHEEL DELHI","S and E","Register of Weekly Off","Monthly","01/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A10'-PANCHSHEEL DELHI","S and E","Registration/Renewal/Amendments/Surrender","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","S and E","Submission of Returns","Yearly","15/01/2019","","14","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Sexual Harassment","Annual Report","Yearly","15/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Sexual Harassment","Copy of Board of Committee Member","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A10'-PANCHSHEEL DELHI","Sexual Harassment","Copy of Sexual Harassment Policy","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Bonus Act","Form A Computation of Allocable Surplus","Yearly","31/10/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Bonus Act","Form B Set '-on and set'-off of Allocable Surplus","Yearly","31/10/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Bonus Act","Form C Register of Bonus Paid to Employees","Yearly","30/11/2019","","90","1","maker.mynd","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Bonus Act","Form D Annual Return","Yearly","31/12/2018","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Bonus Act","Time Limit for Payment of Bonus","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form A Employee Register (Central Rules)","Monthly","25/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form B Wage Register (Central Rules)","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form C Register of Loan Recoveries (Central Rules)","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form D Attendance Register (Central Rules)","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form X Employment Card","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XI Service Certificate","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XIX Wage Slip","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XVI Register of Employment","Monthly","25/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XVII Register of wages","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XX Register of Deduction for Damage or Loss","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XXI Register of Fine","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XXII Register of Advance","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Form XXIII Register of Over Time","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Obtaining of License as a CONTRACTOR","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Status of Form V","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Submission of Form VI'-A (commencement/Completion of work)","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","CLRA '- Cont","Submission of Returns","Half Yearly","31/01/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Employ Comp.","Submission of Returns","Yearly","31/01/2019","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Equal Remu.","Register Maintanence (Form D)","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","ESI","Accident Report","Monthly","02/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A1'-CONNAUGHT PLACE'-I","ESI","Annual Information (Form 01A)","Yearly","31/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","ESI","ESIC ECR","Monthly","15/01/2019","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","ESI","Monthly Deposit","Monthly","15/01/2019","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","ESI","Registration","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Gratuity","Display of abstract of acts and rules","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Gratuity","Form A Notice of Opening","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Gratuity","Form B If Any Change Occurred","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Gratuity","Form L '- Notice for Payment of Gratuity to Individuals","Monthly","25/12/2018","","7","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Gratuity","Form'-C Notice of Closure","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Gratuity","Nomination Form by Employee","Monthly","25/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","LWF","Annual Return","Yearly","31/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","LWF","Register of Payment of Unclaimed Wages","Monthly","25/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","LWF","Register of Wages","Monthly","25/12/2018","","5","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","LWF","Registration if Applicable","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","LWF","Remittance Returns cum Challans","Half Yearly","15/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Maternity","Register Maintenance","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Maternity","Submission of Annual Returns","Yearly","15/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","Form I Register of Fine","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","Form II Register of Deduction","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","Form III Annual Returns","Yearly","31/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","Form IV Register of Overtime","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","Muster Roll Form V","Monthly","01/01/2019","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","MW_Wage_Slip_Form'-XI","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Min. Wages","Register of Wages Form X","Monthly","01/01/2019","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A1'-CONNAUGHT PLACE'-I","National  Festival Holidays","Annual Return (as applicable)","Yearly","31/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","National  Festival Holidays","Display List of Holiday","Yearly","31/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","National  Festival Holidays","Register of National and Festival Holidays","Monthly","25/12/2018","","5","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Payment of Wages","Form I Register of Fine","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Payment of Wages","Form II Register of Deduction","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Payment of Wages","Form III Register of Advance","Monthly","25/12/2018","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Payment of Wages","Form IV Annual Return","Yearly","15/02/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","PF","Monthly Deposit","Monthly","15/01/2019","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","PF","PF ECR","Monthly","15/01/2019","","5","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","PF","Registration","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Professional Tax","Registration","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Professional Tax","Remittance Monthly/Half Yearly/Annual","Monthly","28/12/2018","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Professional Tax","Returns under the Act","Monthly","28/12/2018","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","S and E","Leave Registers","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","S and E","Notice of Holidays to Employees","Monthly","01/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A1'-CONNAUGHT PLACE'-I","S and E","Register of Weekly Off","Monthly","01/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Failed","RemindDays cannot be greater than or equal to date in case of monthly frequency.!"
"0","A1'-CONNAUGHT PLACE'-I","S and E","Registration/Renewal/Amendments/Surrender","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","S and E","Submission of Returns","Yearly","15/01/2019","","14","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Sexual Harassment","Annual Report","Yearly","15/01/2019","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Sexual Harassment","Copy of Board of Committee Member","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-CONNAUGHT PLACE'-I","Sexual Harassment","Copy of Sexual Harassment Policy","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","Bonus Act","Form A Computation of Allocable Surplus","Yearly","31/10/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","Bonus Act","Form B Set '-on and set'-off of Allocable Surplus","Yearly","31/10/2019","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","Bonus Act","Form C Register of Bonus Paid to Employees","Yearly","30/11/2019","","90","1","maker.mynd","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","Bonus Act","Form D Annual Return","Yearly","31/12/2018","","20","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","Bonus Act","Time Limit for Payment of Bonus","As Needed","","","0","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form A Employee Register (Central Rules)","Monthly","25/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form B Wage Register (Central Rules)","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form C Register of Loan Recoveries (Central Rules)","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form D Attendance Register (Central Rules)","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form X Employment Card","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form XI Service Certificate","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form XIX Wage Slip","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form XVI Register of Employment","Monthly","25/12/2018","","10","1","maker.g4s","checker.g4s","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form XVII Register of wages","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
"0","A1'-PANCHSHEEL DELHI","CLRA '- Cont","Form XX Register of Deduction for Damage or Loss","Monthly","25/12/2018","","10","1","maker.mynd","checker.mynd","","","auditor.g4s","","Success",""
