DocID,Site,Act,Activity,Frequency,NextDueDate,EffectiveDate,RemindDays,IsActive,Maker,Checker,Response,Message
18910,Ahmedabad,Maternity,Register Maintenance,Monthly,25/07/2017,,10,1,,,Failed,Invalid Data Format
18911,Ahmedabad,Maternity,Submission of Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18912,Ahmedabad,Min. Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18913,Ahmedabad,Min. Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18914,Ahmedabad,Min. Wages,Form III Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18915,Ahmedabad,Min. Wages,Form IV Register of Overtime,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18916,Ahmedabad,Payment of Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18917,Ahmedabad,Payment of Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18918,Ahmedabad,Payment of Wages,Form III Register of Advance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18919,Ahmedabad,Payment of Wages,Form IV Annual Return,Yearly,31/01/2018,,20,1,,,Failed,Invalid Data Format
18669,Ahmedabad,Professional Tax,Registration,As Needed,,,0,1,,,Failed,Invalid Data Format
18920,Ahmedabad,Professional Tax,Remittance Monthly/Half Yearly/Annual,Monthly,28/07/2017,,20,1,,,Failed,Invalid Data Format
18921,Ahmedabad,Professional Tax,Returns under the Act,Monthly,28/07/2017,,20,1,,,Failed,Invalid Data Format
18670,Ahmedabad,Prohibition of Smoking,Notice Display,As Needed,,,0,1,,,Failed,Invalid Data Format
18922,Ahmedabad,S and E,Employment Register,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18923,Ahmedabad,S and E,Leave Registers,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18924,Ahmedabad,S and E,Register of Attendance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18925,Ahmedabad,S and E,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18671,Ahmedabad,S and E,Registration/Renewal/Amendments/Surrender,As Needed,,,0,1,,,Failed,Invalid Data Format
18926,Ahmedabad,S and E,Submission of Returns,Yearly,31/01/2018,,14,0,,,Failed,Invalid Data Format
18927,Ahmedabad,Sexual Harassment,Annual Report,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18672,Ahmedabad,Sexual Harassment,Copy of Board of Committee Member,As Needed,,,0,1,,,Failed,Invalid Data Format
18673,Ahmedabad,Sexual Harassment,Copy of Sexual Harassment Policy,As Needed,,,0,1,,,Failed,Invalid Data Format
18832,Chennai,Bonus Act,Form A Computation of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18833,Chennai,Bonus Act,Form B Set '-on and set'-off of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18834,Chennai,Bonus Act,Form C Register of Bonus Paid to Employees,Yearly,30/11/2017,,90,0,,,Failed,Invalid Data Format
18835,Chennai,Bonus Act,Form D Annual Return,Yearly,31/12/2017,,20,0,,,Failed,Invalid Data Format
18623,Chennai,Bonus Act,Time Limit for Payment of Bonus,As Needed,,,0,1,,,Failed,Invalid Data Format
18836,Chennai,Child Labour,Disply of Notice/Abstract,As Needed,,,0,1,,,Failed,Invalid Data Format
18624,Chennai,Employ Comp.,Submission of Returns,Yearly,31/01/2018,,0,0,,,Failed,Invalid Data Format
18625,Chennai,Employment Exch.,Notification/Intimation of Vacancy ( 15 days prior to interview ),As Needed,,,0,0,,,Failed,Invalid Data Format
18837,Chennai,Employment Exch.,Quarterly Return (ER'-I),Quarterly,29/04/2017,,10,1,,,Failed,Invalid Data Format
18839,Chennai,Equal Remu.,Register Maintanence (Form D),Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18626,Chennai,ESI,Accident Report,As Needed,,,0,1,,,Failed,Invalid Data Format
18840,Chennai,ESI,Annual Information (Form 01A),Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18841,Chennai,ESI,ESIC ECR,Monthly,21/07/2017,,10,1,,,Failed,Invalid Data Format
18842,Chennai,ESI,Monthly Deposit,Monthly,21/07/2017,,10,1,,,Failed,Invalid Data Format
18627,Chennai,ESI,Registration,As Needed,,,0,1,,,Failed,Invalid Data Format
18628,Chennai,Gratuity,Display of abstract of acts and rules,As Needed,,,0,1,,,Failed,Invalid Data Format
18629,Chennai,Gratuity,Form A Notice of Opening,As Needed,,,0,1,,,Failed,Invalid Data Format
18630,Chennai,Gratuity,Form B If Any Change Occurred,As Needed,,,0,1,,,Failed,Invalid Data Format
18631,Chennai,Gratuity,Form L '- Notice for Payment of Gratuity to Individuals,As Needed,,,0,1,,,Failed,Invalid Data Format
18632,Chennai,Gratuity,Form'-C Notice of Closure,As Needed,,,0,1,,,Failed,Invalid Data Format
18843,Chennai,LWF,Annual Return,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18844,Chennai,LWF,Register of Payment of Unclaimed Wages,Quarterly,25/01/2017,,10,1,,,Failed,Invalid Data Format
18845,Chennai,LWF,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18633,Chennai,LWF,Registration if Applicable,As Needed,,,0,1,,,Failed,Invalid Data Format
18634,Chennai,LWF,Remittance Returns cum Challans,Yearly,31/01/2018,,5,1,,,Failed,Invalid Data Format
18846,Chennai,Maternity,Register Maintenance,Monthly,25/07/2017,,10,1,,,Failed,Invalid Data Format
18847,Chennai,Maternity,Submission of Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18848,Chennai,Min. Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18849,Chennai,Min. Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18850,Chennai,Min. Wages,Form III Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18851,Chennai,Min. Wages,Form IV Register of Overtime,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18852,Chennai,Payment of Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18853,Chennai,Payment of Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18854,Chennai,Payment of Wages,Form III Register of Advance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18855,Chennai,Payment of Wages,Form IV Annual Return,Yearly,31/01/2018,,20,1,,,Failed,Invalid Data Format
18635,Chennai,Professional Tax,Registration,As Needed,,,0,1,,,Failed,Invalid Data Format
18856,Chennai,Professional Tax,Remittance Monthly/Half Yearly/Annual,Half Yearly,28/02/2018,,20,1,,,Failed,Invalid Data Format
18857,Chennai,Professional Tax,Returns under the Act,Half Yearly,28/02/2018,,20,0,,,Failed,Invalid Data Format
18636,Chennai,Prohibition of Smoking,Notice Display,As Needed,,,0,1,,,Failed,Invalid Data Format
18858,Chennai,S and E,Employment Register,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18859,Chennai,S and E,Leave Registers,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18860,Chennai,S and E,Register of Attendance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18861,Chennai,S and E,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18637,Chennai,S and E,Registration/Renewal/Amendments/Surrender,As Needed,,,0,1,,,Failed,Invalid Data Format
18862,Chennai,S and E,Submission of Returns,Yearly,31/01/2018,,14,0,,,Failed,Invalid Data Format
18863,Chennai,Sexual Harassment,Annual Report,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18638,Chennai,Sexual Harassment,Copy of Board of Committee Member,As Needed,,,0,0,,,Failed,Invalid Data Format
18639,Chennai,Sexual Harassment,Copy of Sexual Harassment Policy,As Needed,,,0,0,,,Failed,Invalid Data Format
18772,Delhi Okhla,Bonus Act,Form A Computation of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18773,Delhi Okhla,Bonus Act,Form B Set '-on and set'-off of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18774,Delhi Okhla,Bonus Act,Form C Register of Bonus Paid to Employees,Yearly,30/11/2017,,90,0,,,Failed,Invalid Data Format
18775,Delhi Okhla,Bonus Act,Form D Annual Return,Yearly,31/12/2017,,20,0,,,Failed,Invalid Data Format
18591,Delhi Okhla,Bonus Act,Time Limit for Payment of Bonus,As Needed,,,0,0,,,Failed,Invalid Data Format
18776,Delhi Okhla,Child Labour,Disply of Notice/Abstract,Yearly,30/12/2017,,0,0,,,Failed,Invalid Data Format
18592,Delhi Okhla,Employ Comp.,Submission of Returns,Yearly,31/01/2018,,0,0,,,Failed,Invalid Data Format
18593,Delhi Okhla,Employment Exch.,Notification/Intimation of Vacancy ( 15 days prior to interview ),As Needed,,,0,0,,,Failed,Invalid Data Format
18777,Delhi Okhla,Employment Exch.,Quarterly Return (ER'-I),Quarterly,29/04/2017,,10,0,,,Failed,Invalid Data Format
18779,Delhi Okhla,Equal Remu.,Register Maintanence (Form D),Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18594,Delhi Okhla,ESI,Accident Report,As Needed,,,0,0,,,Failed,Invalid Data Format
18780,Delhi Okhla,ESI,Annual Information (Form 01A),Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18781,Delhi Okhla,ESI,ESIC ECR,Monthly,21/07/2017,,10,0,,,Failed,Invalid Data Format
18782,Delhi Okhla,ESI,Monthly Deposit,Monthly,21/07/2017,,10,0,,,Failed,Invalid Data Format
18595,Delhi Okhla,ESI,Registration,As Needed,,,0,0,,,Failed,Invalid Data Format
18596,Delhi Okhla,Gratuity,Display of abstract of acts and rules,As Needed,,,0,1,,,Failed,Invalid Data Format
18597,Delhi Okhla,Gratuity,Form A Notice of Opening,As Needed,,,0,1,,,Failed,Invalid Data Format
18598,Delhi Okhla,Gratuity,Form B If Any Change Occurred,As Needed,,,0,1,,,Failed,Invalid Data Format
18599,Delhi Okhla,Gratuity,Form L '- Notice for Payment of Gratuity to Individuals,As Needed,,,0,1,,,Failed,Invalid Data Format
18600,Delhi Okhla,Gratuity,Form'-C Notice of Closure,As Needed,,,0,1,,,Failed,Invalid Data Format
18783,Delhi Okhla,LWF,Annual Return,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18784,Delhi Okhla,LWF,Register of Payment of Unclaimed Wages,Monthly,25/07/2017,,10,0,,,Failed,Invalid Data Format
18785,Delhi Okhla,LWF,Register of Wages,Monthly,25/07/2017,,5,0,,,Failed,Invalid Data Format
18601,Delhi Okhla,LWF,Registration if Applicable,As Needed,,,0,0,,,Failed,Invalid Data Format
18602,Delhi Okhla,LWF,Remittance Returns cum Challans,Half Yearly,25/07/2017,,5,0,,,Failed,Invalid Data Format
18786,Delhi Okhla,Maternity,Register Maintenance,Monthly,25/07/2017,,10,0,,,Failed,Invalid Data Format
18787,Delhi Okhla,Maternity,Submission of Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18788,Delhi Okhla,Min. Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18789,Delhi Okhla,Min. Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18790,Delhi Okhla,Min. Wages,Form III Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18791,Delhi Okhla,Min. Wages,Form IV Register of Overtime,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18792,Delhi Okhla,Payment of Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18793,Delhi Okhla,Payment of Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18794,Delhi Okhla,Payment of Wages,Form III Register of Advance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18795,Delhi Okhla,Payment of Wages,Form IV Annual Return,Yearly,31/01/2018,,20,1,,,Failed,Invalid Data Format
18603,Delhi Okhla,Prohibition of Smoking,Notice Display,As Needed,,,0,1,,,Failed,Invalid Data Format
18796,Delhi Okhla,S and E,Employment Register,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18797,Delhi Okhla,S and E,Leave Registers,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18798,Delhi Okhla,S and E,Register of Attendance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18799,Delhi Okhla,S and E,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18604,Delhi Okhla,S and E,Registration/Renewal/Amendments/Surrender,As Needed,,,0,1,,,Failed,Invalid Data Format
18800,Delhi Okhla,S and E,Submission of Returns,Yearly,31/01/2018,,14,0,,,Failed,Invalid Data Format
18801,Delhi Okhla,Sexual Harassment,Annual Report,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18605,Delhi Okhla,Sexual Harassment,Copy of Board of Committee Member,As Needed,,,0,0,,,Failed,Invalid Data Format
18606,Delhi Okhla,Sexual Harassment,Copy of Sexual Harassment Policy,As Needed,,,0,0,,,Failed,Invalid Data Format
18802,Delhi Rangpuri,Bonus Act,Form A Computation of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18803,Delhi Rangpuri,Bonus Act,Form B Set '-on and set'-off of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18804,Delhi Rangpuri,Bonus Act,Form C Register of Bonus Paid to Employees,Yearly,30/11/2017,,90,0,,,Failed,Invalid Data Format
18805,Delhi Rangpuri,Bonus Act,Form D Annual Return,Yearly,31/12/2017,,20,0,,,Failed,Invalid Data Format
18607,Delhi Rangpuri,Bonus Act,Time Limit for Payment of Bonus,As Needed,,,0,0,,,Failed,Invalid Data Format
18806,Delhi Rangpuri,Child Labour,Disply of Notice/Abstract,Half Yearly,30/12/2017,,0,0,,,Failed,Invalid Data Format
18608,Delhi Rangpuri,Employ Comp.,Submission of Returns,Yearly,31/01/2018,,0,1,,,Failed,Invalid Data Format
18609,Delhi Rangpuri,Employment Exch.,Notification/Intimation of Vacancy ( 15 days prior to interview ),As Needed,,,0,1,,,Failed,Invalid Data Format
18807,Delhi Rangpuri,Employment Exch.,Quarterly Return (ER'-I),Quarterly,29/04/2017,,10,1,,,Failed,Invalid Data Format
18809,Delhi Rangpuri,Equal Remu.,Register Maintanence (Form D),Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18610,Delhi Rangpuri,ESI,Accident Report,As Needed,,,0,0,,,Failed,Invalid Data Format
18810,Delhi Rangpuri,ESI,Annual Information (Form 01A),Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18811,Delhi Rangpuri,ESI,ESIC ECR,Monthly,21/07/2017,,10,0,,,Failed,Invalid Data Format
18812,Delhi Rangpuri,ESI,Monthly Deposit,Monthly,21/07/2017,,10,0,,,Failed,Invalid Data Format
18611,Delhi Rangpuri,ESI,Registration,As Needed,,,0,0,,,Failed,Invalid Data Format
18612,Delhi Rangpuri,Gratuity,Display of abstract of acts and rules,As Needed,,,0,1,,,Failed,Invalid Data Format
18613,Delhi Rangpuri,Gratuity,Form A Notice of Opening,As Needed,,,0,1,,,Failed,Invalid Data Format
18614,Delhi Rangpuri,Gratuity,Form B If Any Change Occurred,As Needed,,,0,1,,,Failed,Invalid Data Format
18615,Delhi Rangpuri,Gratuity,Form L '- Notice for Payment of Gratuity to Individuals,As Needed,,,0,1,,,Failed,Invalid Data Format
18616,Delhi Rangpuri,Gratuity,Form'-C Notice of Closure,As Needed,,,0,1,,,Failed,Invalid Data Format
18813,Delhi Rangpuri,LWF,Annual Return,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18814,Delhi Rangpuri,LWF,Register of Payment of Unclaimed Wages,Monthly,25/07/2017,,10,0,,,Failed,Invalid Data Format
18815,Delhi Rangpuri,LWF,Register of Wages,Monthly,25/07/2017,,5,0,,,Failed,Invalid Data Format
18617,Delhi Rangpuri,LWF,Registration if Applicable,As Needed,,,0,0,,,Failed,Invalid Data Format
18618,Delhi Rangpuri,LWF,Remittance Returns cum Challans,Half Yearly,25/07/2017,,5,0,,,Failed,Invalid Data Format
18816,Delhi Rangpuri,Maternity,Register Maintenance,Monthly,25/07/2017,,10,1,,,Failed,Invalid Data Format
18817,Delhi Rangpuri,Maternity,Submission of Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18818,Delhi Rangpuri,Min. Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18819,Delhi Rangpuri,Min. Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18820,Delhi Rangpuri,Min. Wages,Form III Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18821,Delhi Rangpuri,Min. Wages,Form IV Register of Overtime,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18822,Delhi Rangpuri,Payment of Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18823,Delhi Rangpuri,Payment of Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18824,Delhi Rangpuri,Payment of Wages,Form III Register of Advance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18825,Delhi Rangpuri,Payment of Wages,Form IV Annual Return,Yearly,31/01/2018,,20,1,,,Failed,Invalid Data Format
18619,Delhi Rangpuri,Prohibition of Smoking,Notice Display,As Needed,,,0,1,,,Failed,Invalid Data Format
18826,Delhi Rangpuri,S and E,Employment Register,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18827,Delhi Rangpuri,S and E,Leave Registers,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18828,Delhi Rangpuri,S and E,Register of Attendance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18829,Delhi Rangpuri,S and E,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18620,Delhi Rangpuri,S and E,Registration/Renewal/Amendments/Surrender,As Needed,,,0,1,,,Failed,Invalid Data Format
18830,Delhi Rangpuri,S and E,Submission of Returns,Yearly,31/01/2018,,14,0,,,Failed,Invalid Data Format
18831,Delhi Rangpuri,Sexual Harassment,Annual Report,Yearly,31/01/2018,,10,0,,,Failed,Invalid Data Format
18621,Delhi Rangpuri,Sexual Harassment,Copy of Board of Committee Member,As Needed,,,0,1,,,Failed,Invalid Data Format
18622,Delhi Rangpuri,Sexual Harassment,Copy of Sexual Harassment Policy,As Needed,,,0,1,,,Failed,Invalid Data Format
18960,Kolkata,Bonus Act,Form A Computation of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18961,Kolkata,Bonus Act,Form B Set '-on and set'-off of Allocable Surplus,Yearly,31/10/2017,,20,0,,,Failed,Invalid Data Format
18962,Kolkata,Bonus Act,Form C Register of Bonus Paid to Employees,Yearly,30/11/2017,,90,0,,,Failed,Invalid Data Format
18963,Kolkata,Bonus Act,Form D Annual Return,Yearly,31/12/2017,,20,0,,,Failed,Invalid Data Format
18691,Kolkata,Bonus Act,Time Limit for Payment of Bonus,As Needed,,,0,1,,,Failed,Invalid Data Format
18964,Kolkata,Child Labour,Disply of Notice/Abstract,Half Yearly,30/12/2017,,0,0,,,Failed,Invalid Data Format
18692,Kolkata,Employ Comp.,Submission of Returns,Yearly,31/01/2018,,0,1,,,Failed,Invalid Data Format
18693,Kolkata,Employment Exch.,Notification/Intimation of Vacancy ( 15 days prior to interview ),As Needed,,,0,1,,,Failed,Invalid Data Format
18965,Kolkata,Employment Exch.,Quarterly Return (ER'-I),Quarterly,29/04/2017,,10,1,,,Failed,Invalid Data Format
18967,Kolkata,Equal Remu.,Register Maintanence (Form D),Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18694,Kolkata,ESI,Accident Report,As Needed,,,0,1,,,Failed,Invalid Data Format
18968,Kolkata,ESI,Annual Information (Form 01A),Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18969,Kolkata,ESI,ESIC ECR,Monthly,21/07/2017,,10,1,,,Failed,Invalid Data Format
18970,Kolkata,ESI,Monthly Deposit,Monthly,21/07/2017,,10,1,,,Failed,Invalid Data Format
18695,Kolkata,ESI,Registration,As Needed,,,0,1,,,Failed,Invalid Data Format
18696,Kolkata,Gratuity,Display of abstract of acts and rules,As Needed,,,0,1,,,Failed,Invalid Data Format
18697,Kolkata,Gratuity,Form A Notice of Opening,As Needed,,,0,1,,,Failed,Invalid Data Format
18698,Kolkata,Gratuity,Form B If Any Change Occurred,As Needed,,,0,1,,,Failed,Invalid Data Format
18699,Kolkata,Gratuity,Form L '- Notice for Payment of Gratuity to Individuals,As Needed,,,0,1,,,Failed,Invalid Data Format
18700,Kolkata,Gratuity,Form'-C Notice of Closure,As Needed,,,0,1,,,Failed,Invalid Data Format
18971,Kolkata,LWF,Annual Return,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18972,Kolkata,LWF,Register of Payment of Unclaimed Wages,Quarterly,25/01/2017,,10,1,,,Failed,Invalid Data Format
18973,Kolkata,LWF,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18701,Kolkata,LWF,Registration if Applicable,As Needed,,,0,1,,,Failed,Invalid Data Format
18702,Kolkata,LWF,Remittance Returns cum Challans,Half Yearly,25/07/2017,,5,0,,,Failed,Invalid Data Format
18974,Kolkata,Maternity,Register Maintenance,Monthly,25/07/2017,,10,1,,,Failed,Invalid Data Format
18975,Kolkata,Maternity,Submission of Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18976,Kolkata,Min. Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18977,Kolkata,Min. Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18978,Kolkata,Min. Wages,Form III Annual Returns,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18979,Kolkata,Min. Wages,Form IV Register of Overtime,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18980,Kolkata,Payment of Wages,Form I Register of Fine,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18981,Kolkata,Payment of Wages,Form II Register of Deduction,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18982,Kolkata,Payment of Wages,Form III Register of Advance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18983,Kolkata,Payment of Wages,Form IV Annual Return,Yearly,31/01/2018,,20,1,,,Failed,Invalid Data Format
18703,Kolkata,Professional Tax,Registration,As Needed,,,0,1,,,Failed,Invalid Data Format
18984,Kolkata,Professional Tax,Remittance Monthly/Half Yearly/Annual,Monthly,28/07/2017,,20,1,,,Failed,Invalid Data Format
18985,Kolkata,Professional Tax,Returns under the Act,Monthly,28/07/2017,,20,1,,,Failed,Invalid Data Format
18704,Kolkata,Prohibition of Smoking,Notice Display,As Needed,,,0,1,,,Failed,Invalid Data Format
18986,Kolkata,S and E,Employment Register,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18987,Kolkata,S and E,Leave Registers,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18988,Kolkata,S and E,Register of Attendance,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18989,Kolkata,S and E,Register of Wages,Monthly,25/07/2017,,5,1,,,Failed,Invalid Data Format
18705,Kolkata,S and E,Registration/Renewal/Amendments/Surrender,As Needed,,,0,1,,,Failed,Invalid Data Format
18990,Kolkata,S and E,Submission of Returns,Yearly,31/01/2018,,14,1,,,Failed,Invalid Data Format
18991,Kolkata,Sexual Harassment,Annual Report,Yearly,31/01/2018,,10,1,,,Failed,Invalid Data Format
18706,Kolkata,Sexual Harassment,Copy of Board of Committee Member,As Needed,,,0,1,,,Failed,Invalid Data Format
18707,Kolkata,Sexual Harassment,Copy of Sexual Harassment Policy,As Needed,,,0,1,,,Failed,Invalid Data Format
